00001, 1.00,  1,10,1000.0
00002, 7.14, 12, 7,1000.0
00003,30.00,  4, 1,1000.0
00004,16.67,365, 3,1000.0
00005,10.00, 52, 5,1000.0
00006, 1.00,365,30,1000.0
00007, 5.00,  4, 2,1000.0
00008,25.00, 52, 2,1000.0
00009, 4.29, 12, 7,1000.0
00010,10.00, 12, 5,1000.0
00011,10.00,  1, 5,1000.0
00012, 2.86, 12, 7,1000.0
00013,40.00,  1, 1,1000.0
00014, 0.33,  1,30,1000.0
00015, 4.00,  1,10,1000.0
00016, 5.71,  4, 7,1000.0
00017,10.00, 12, 1,1000.0
00018, 1.00, 12, 5,1000.0
00019, 1.33, 12,30,1000.0
00020,10.00, 12, 1,1000.0
00021, 3.33, 12, 3,1000.0
00022, 4.29, 52, 7,1000.0
00023,13.33,  4, 3,1000.0
00024,40.00, 52, 1,1000.0
00025, 2.86, 12, 7,1000.0
00026, 1.67,  1, 3,1000.0
00027, 0.33,  1,30,1000.0
00028, 1.00, 52,10,1000.0
00029,10.00,  1, 1,1000.0
00030, 5.00, 52, 2,1000.0
00031, 5.00, 52, 1,1000.0
00032, 1.43,365, 7,1000.0
00033, 1.00, 12,30,1000.0
00034,15.00,  4, 2,1000.0
00035, 7.50,365, 4,1000.0
00036,30.00, 12, 1,1000.0
00037, 8.00, 52, 5,1000.0
00038, 1.00,  1,10,1000.0
00039, 1.67, 12, 3,1000.0
00040,15.00,  4, 2,1000.0
00041,10.00,  4, 2,1000.0
00042, 2.86,  1, 7,1000.0
00043, 5.71,365, 7,1000.0
00044,12.50,  1, 4,1000.0
00045, 2.50,365, 4,1000.0
00046, 0.67,  1,30,1000.0
00047, 2.00,365, 5,1000.0
00048,50.00,  4, 1,1000.0
00049, 5.00, 12, 1,1000.0
00050,12.50,  4, 4,1000.0
00051,12.50,  4, 4,1000.0
00052, 0.50, 12,10,1000.0
00053, 2.86,  4, 7,1000.0
00054,10.00,  1, 3,1000.0
00055, 7.14, 52, 7,1000.0
00056,40.00,  1, 1,1000.0
00057, 0.50,  4,10,1000.0
00058, 3.00, 12,10,1000.0
00059, 4.29, 12, 7,1000.0
00060, 2.00,  4, 5,1000.0
00061,13.33, 12, 3,1000.0
00062, 5.00,  4,10,1000.0
00063, 4.00,365, 5,1000.0
00064,10.00, 52, 1,1000.0
00065, 3.33, 52, 3,1000.0
00066, 8.00, 12, 5,1000.0
00067, 5.00,365, 2,1000.0
00068, 5.00, 12, 4,1000.0
00069,10.00, 52, 2,1000.0
00070,40.00,  4, 1,1000.0
00071, 0.50,365,10,1000.0
00072, 4.00, 52, 5,1000.0
00073, 2.00,365, 5,1000.0
00074, 0.67,  1,30,1000.0
00075, 4.00, 12, 5,1000.0
00076,10.00, 12, 3,1000.0
